sort_order,avatar,name,health_system,street_address,city,state,zip,region,phone,fax,lab_services,website,active
1,UW,University of Washington Medical Center Microbiology Lab,UW Medicine,1959 NE Pacific St,Seattle,WA,98195,Puget Sound,206-555-0100,206-555-0101,Bacteriology;Virology / PCR;Antimicrobial Susceptibility Testing;Blood Cultures;Mycology,https://example.org,yes
2,HMC,Harborview Medical Center Microbiology Lab,UW Medicine,325 9th Ave,Seattle,WA,98104,Puget Sound,206-555-0200,206-555-0201,Bacteriology;Blood Cultures;AFB / Mycobacteriology;Antimicrobial Susceptibility Testing,https://example.org,yes
3,SCH,Seattle Children’s Microbiology Lab,Seattle Children’s,4800 Sand Point Way NE,Seattle,WA,98105,Puget Sound,206-555-0300,206-555-0301,Pediatric Microbiology;Virology / PCR;Respiratory Pathogen Testing;Blood Cultures,https://example.org,yes
4,VM,Virginia Mason Microbiology Lab,Virginia Mason Franciscan Health,1100 9th Ave,Seattle,WA,98101,Puget Sound,206-555-0400,206-555-0401,Bacteriology;Blood Cultures;Antimicrobial Susceptibility Testing;Molecular Diagnostics,https://example.org,yes
5,SW,Swedish Clinical Microbiology Lab,Providence Swedish,747 Broadway,Seattle,WA,98122,Puget Sound,206-555-0500,206-555-0501,Bacteriology;Blood Cultures;Respiratory Testing;Molecular Diagnostics,https://example.org,yes
6,TG,MultiCare Tacoma General Microbiology Lab,MultiCare,315 Martin Luther King Jr Way,Tacoma,WA,98405,Puget Sound,253-555-0100,253-555-0101,Bacteriology;Blood Cultures;Antimicrobial Susceptibility Testing;Urine Cultures,https://example.org,yes
7,SM,St. Michael Medical Center Microbiology Lab,Virginia Mason Franciscan Health,1800 NW Myhre Rd,Silverdale,WA,98383,Puget Sound,360-555-0100,360-555-0101,Bacteriology;Blood Cultures;Urine Cultures;Send-out Testing,https://example.org,yes
8,PROV,Providence Sacred Heart Microbiology Lab,Providence,101 W 8th Ave,Spokane,WA,99204,Eastern Washington,509-555-0100,509-555-0101,Bacteriology;Blood Cultures;Antimicrobial Susceptibility Testing;Molecular Diagnostics;Send-out Testing,https://example.org,yes
9,YAK,Yakima Valley Memorial Microbiology Lab,MultiCare,2811 Tieton Dr,Yakima,WA,98902,Central Washington,509-555-0300,509-555-0301,Bacteriology;Blood Cultures;Urine Cultures;Antimicrobial Susceptibility Testing,https://example.org,yes
10,PEACE,PeaceHealth Southwest Microbiology Lab,PeaceHealth,400 NE Mother Joseph Pl,Vancouver,WA,98664,Southwest Washington,360-555-0200,360-555-0201,Bacteriology;Blood Cultures;Antimicrobial Susceptibility Testing;Molecular Diagnostics,https://example.org,yes
